"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90"
"1",1995,27838514.3040943,12477490820825,15267750.6242889,6888990.9594,1122842.91283784,4558929.80756757,8519853761427.07,1918250763024.46,152343067247.481,1887043229126.01,18400283354670.1,0.154087071587956,27838.5143040943,20632.0616580124,35044.9669501763
"2",1996,27289682.5262882,12558873664246.5,15170375.5885,6943230.49879656,1122842.91283784,4053233.52615385,8881184536588.33,2120429894736.1,153097693105.712,1404161539816.4,18481666198091.7,0.157533193722886,27289.6825262882,20067.3107082846,34512.0543442919
"3",1997,20355369.3739972,6895563691123.08,8149427.06990888,7257238.27676768,1122842.91283784,3825861.11448276,1322943235418.95,4145778071832.53,153779813842.29,1273062570029.31,12818356224968.2,0.175888392864368,20355.3693739972,14340.5103890042,26370.2283589901
"4",1998,21253885.2045027,8528937378373.05,8608535.04823529,7736076.46033097,1122842.91283784,3786430.78309859,2172597174043.07,4953696638500.9,152502011692.547,1250141554136.52,14451729912218.2,0.178863443535884,21253.8852045027,14867.2928028972,27640.4776061081
"5",1999,21748497.9648602,4726211724565.76,8607610.9156621,4420500.17538462,1122842.91283784,7597543.96097561,1598137167158.79,638846693927.495,152213748924.461,2337014114555.02,10649004258410.9,0.150046279780453,21748.4979648602,16266.1855313209,27230.8103983994
"6",2000,22546268.7029334,6026884053316.43,8529347.25591667,4172383.08553846,1122842.91283784,8721695.44864041,1968996485721.82,699990500485.06,152347511766.005,3205549555343.54,11949676587161.6,0.153321619224021,22546.2687029334,16738.7935889441,28353.7438169227
"7",2001,23236073.249241,5929139476393.91,8879070.74411439,5035790.72930233,1122842.91283784,8198368.86298643,1754135251026.8,983389082860.625,152956201976.878,3038658940529.61,11851932010239,0.148160296634542,23236.073249241,17452.3985604554,29019.7479380265
"8",2002,23276700.9060532,6003038192039.4,8532013.43431818,5035790.72930233,1122842.91283784,8586053.82959488,1659404765922.57,982333153737.022,152935064179.914,3208365208199.9,11925830725884.5,0.148362073441236,23276.7009060532,17475.0231624401,29078.3786496664
"9",2003,31003661.660133,8829501912771.93,9245545.72192308,12160290.1133721,1122842.91283784,8474982.912,885344045029.586,4322659898852.45,151808939624.037,3469689029265.86,14752294446617.1,0.12388445003462,31003.661660133,24550.997416107,37456.325904159
"10",2004,29266854.7309114,8105887601011.63,9099713.79673367,10878940.511669,1122842.91283784,8165357.50967089,1348221852123.83,3716085909112.76,153719563656.235,2887860276118.8,14028680134856.8,0.127977126501282,29266.8547309114,22974.434940988,35559.2745208348
"11",2005,29992877.3705683,8517771587823.15,9099713.79673367,11670258.518617,1122842.91283784,8100062.14237975,1338909141612.81,4880020313797.34,152304226651.975,2146537905761.03,14440564121668.3,0.126699221913912,29992.8773705683,23608.7526712069,36377.0020699297
"12",2006,29992877.3705683,8694131688448.97,9099713.79673367,11670258.518617,1122842.91283784,8100062.14237975,1360739471344.24,4826095995444.38,152702983618.081,2354593238042.26,14616924222294.1,0.127470551823055,29992.8773705683,23569.8868735332,36415.8678676034
"13",2007,26049504.3652919,7716559399265.53,5156340.79145729,11670258.518617,1122842.91283784,8100062.14237975,403357129622.965,4816970063670.12,153532590653.279,2342699615319.16,13639351933110.7,0.141774264597075,26049.5043652919,19845.0135001192,32253.9952304646
"14",2008,26637809.9794853,8031453595982.79,5595254.01804124,10398398.5387774,1360770.372,9283387.05066667,580941082783.376,3560980163607.57,235128548646.086,3654403800945.75,13954246129827.9,0.14023443623745,26637.8099794853,20362.1056941619,32913.5142648087
"15",2009,21838239.0674683,5017437902258.16,6230595.2254025,5685716.04233577,1132125.75737705,8789802.04235294,674525034669.914,942907187073.465,151357954751.021,3248647725763.76,10940230436103.3,0.151459186154588,21838.2390674683,16281.4678482387,27395.0102866978
"16",2010,21903170.5250712,4779337285593.05,6129598.5742268,6041789.43307692,1325626.86976744,8406155.648,654566555675.778,1442057737057.96,220819354887.257,2461893637972.06,10702129819438.2,0.14935787397612,21903.1705250712,16407.2000736966,27399.1409764457
"17",2011,21713936.0392102,5044211487311.73,5614382.45284698,6203977.97817048,1160913,8734662.60819277,543205314620.052,1335018618458.34,161641178106.16,3004346376127.17,10967004021156.8,0.152512502454789,21713.9360392102,16150.3695437585,27277.502534662
"18",2012,20733104.0507529,4836693950038.86,4253018.04267898,6234955.54616977,1095757.02765957,9149373.4342446,308048899371.548,1220779678760.26,151632725915.628,3156232645991.43,10759486483884,0.158209094515341,20733.1040507529,15222.4258119048,26243.782289601
"19",2013,14555066.5622615,2232413062138.89,3982840.41243816,5795873.00738739,1095757.02765957,3680596.11477639,303569709881.624,1119056266990.5,150803608009.069,658983477257.701,8155205595984.02,0.196201923731615,14555.0665622615,9757.43670220506,19352.696422318
"20",2014,14446492.1157404,2095568093902.24,4251339.47260437,5260699.01372549,1253857.51463415,3680596.11477639,354986546460.542,860173406912.115,186988427383.174,693419713146.404,8018360627747.36,0.196010974358942,14446.4921157404,9689.2848430063,19203.6993884745
"21",2015,14491589.8974647,2935496317877.76,4337711.35648352,5137777.30120482,1335505.125,3680596.11477639,378675422520.915,1655616179597.74,205247902665.17,695956813093.934,8858288851722.88,0.20538034712915,14491.5898974647,9491.42645462581,19491.7533403036
"22",2016,16156959.4175513,3284861443818.2,6445482.86618962,5093096.40916808,1166245.288,3452134.85419355,823164337259.341,1708640315335.91,54712037564.8819,698344753658.06,9207653977663.32,0.187808334336951,16156.9594175513,11059.1478688024,21254.7709663001
"23",2017,14427160.1545141,2206383584015.11,6536514.31714286,3069157.82981818,1148682.53658537,3672805.47096774,936665978131.863,417671006893.84,58434679146.7896,793611919842.619,8129176117860.23,0.197625241394672,14427.1601545141,9637.19286077939,19217.1274482489
"24",2018,15643105.8343094,2892501867095.67,5492126.88414634,3126816.68285714,996462.807407407,6027699.45989848,595940349854.098,470468998097.603,346097365827.521,1479995153316.45,8815294400940.79,0.18979965857972,15643.1058343094,10655.0915082258,20631.120160393
"25",2019,16314754.5834427,3737725985275.46,5274771.32738337,4213143.67813187,991851.426028708,5834988.15189873,628738187505.343,1310462461101.82,346318082547.929,1452207254120.36,9660518519120.58,0.190510831895395,16314.7545834427,11093.0836374364,21536.4255294489
"26",2020,17685782.7315732,3996424803157.19,5175122.33333333,4234251.35578059,1087792.16,7188616.88245931,889017420560.21,1498726688528.76,433077553668.19,1175603140400.03,9919217337002.32,0.178079700914579,17685.7827315732,12394.6581807849,22976.9072823616
"27",2021,18026123.9873822,4004637706679.27,5290025.884,4401175.83921922,1035795.31337838,7299126.95078464,736431141944.632,1546989729159.84,384950268887.985,1336266566686.81,9927430240524.39,0.174789793018166,18026.1239873822,12732.8094198493,23319.4385549151
"28",2022,20578210.3852827,7785971638502.22,5900413.486,5075033.93714286,1052042.53418803,8550720.42795181,1266782051718.83,2533145059021.41,172087877162.071,3813956650599.9,13708764172347.3,0.179925015895507,20578.2103852827,14357.9518697519,26798.4689008135
"29",2023,21892439.9040959,7353306430498.31,6002947.43125,6180154.10103448,1158617.94385965,8550720.42795181,1519031465773.57,1732715349938.58,230528385445.867,3871031229340.29,13276098964343.4,0.166433625737529,21892.4399040959,15771.1278129701,28013.7519952217
"30",2024,20946247.7030101,7014889623519.12,6144364.04847222,5108120.14241935,1143043.08416667,8550720.42795181,1534154832045.73,1577826665068.68,223021959212.418,3679886167192.29,12937682157364.2,0.171720444397426,20946.2477030101,14903.4574434574,26989.0379625627
