"","Dive","transect_length_m","avg.depth"
"1",1,1005.07691824014,135
"2",2,1005.03655750128,125
"3",3,997.904080244316,95
"4",4,1051.53889349988,135
"5",5,1019.25510892682,140
"6",6,1024.73387915581,80
"7",7,1017.80287923222,95
"8",8,1010.12231566294,115
"9",9,1042.61998694203,100
"10",10,1018.07414458289,115
"11",11,1023.02295613818,95
"12",12,1018.44365160176,100
"13",13,1019.20626388086,120
"14",14,1039.24450602823,125
"15",15,1035.38451503996,130
"16",16,1032.46398672802,140
"17",17,1807.38511350181,130
"18",18,1025.71881592223,90
"19",19,225.810452515242,65
"20",20,1011.95691413565,100
"21",21,1026.61917668151,100
"22",22,1028.80234628635,80
"23",23,1030.79344583772,85
"24",24,1032.52292320925,120
"25",25,1010.91397393565,130
"26",26,1003.71387573635,115
"27",27,1022.80488019574,85
"28",28,1017.29027142171,85
"29",29,1024.74042722951,70
"30",30,1048.7868109025,90
"31",31,1077.89242706615,135
